1,Descripción del Curso,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/0,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/1,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/2,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/3,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/4,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/5,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/6,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/7,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/8,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/9
34,MA2404 - PROBABILIDADES,,1,,,,,,,,
35,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
36,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
37,AE4130 - FORMULACION Y EVALUACION  PROYECTOS,1,,,,,,,,,
37,IC6400 - INVESTIGACION DE OPERACIONES,1,,,,,,,,,
37,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
38,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,,1,,,,,,,,
38,SE1205 - JUEGOS Y DEPORTES EN CONJUNTO,1,,,,,,,,,
38,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
38,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
39,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
40,AE3505 - METODOLOGIA DE LA INVESTIGACION,1,,,,,,,,,
40,TI9005 - ESPIRITU EMPRENDEDOR Y CREACION DE EMPRESAS,1,,,,,,,,,
41,IC6400 - INVESTIGACION DE OPERACIONES,1,,,,,,,,,
41,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
41,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
42,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
43,MA2404 - PROBABILIDADES,1,,,,,,,,,
43,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
43,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
43,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
43,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
44,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
45,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
46,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
47,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
48,EM1600 - TECNOLOGIAS DIGITALES APLICADAS A LA MATEMATICA EDUCATIVA I,1,,,,,,,,,
48,IC8056 - VISUALIZACION DE INFORMACION,1,,,,,,,,,
49,MA0101 - MATEMATICA GENERAL,,,,,,,,,1,
49,MA1403 - MATEMATICA DISCRETA,,,,,,,,,,
49,SE1102 - ACCION SOCIAL,1,,,,,,,,,
50,IC6400 - INVESTIGACION DE OPERACIONES,1,,,,,,,,,
50,MA2404 - PROBABILIDADES,,1,,,,,,,,
50,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
50,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
50,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
50,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
51,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
51,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
52,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
53,TI8902 - ADQUISICION DE TI,,1,,,,,,,,
53,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
54,MA2404 - PROBABILIDADES,1,,,,,,,,,
54,TI4500 - INGENIERIA DE REQUERIMIENTOS,1,,,,,,,,,
54,TI4601 - BASES DE DATOS AVANZADOS,,,1,,,,,,,
54,TI5501 - DISEÑO DE SOFTWARE,1,,,,,,,,,
54,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
55,MA0101 - MATEMATICA GENERAL,,,,,,,,,,1
55,MA2404 - PROBABILIDADES,,1,,,,,,,,
55,TI3404 - LENGUAJES DE PROGRAMACION,,,,,,,,1,,
56,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
57,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
58,CI4401 - INGLES II (ATI),1,,,,,,,,,
58,CS3401 - SEMINARIO DE ESTUDIOS FILOSOFICOS HISTORICOS,1,,,,,,,,,
58,MA0101 - MATEMATICA GENERAL,,,,,1,,,,,
58,TI3600 - BASES DE DATOS,,1,,,,,,,,
58,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
59,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
59,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
60,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
60,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
61,TI4200 - ECONOMIA,1,,,,,,,,,
61,TI4500 - INGENIERIA DE REQUERIMIENTOS,1,,,,,,,,,
61,TI4601 - BASES DE DATOS AVANZADOS,1,,,,,,,,,
62,CI1403 - COMUNICACION TECNICA,1,,,,,,,,,
62,TI4101 - PLANIFICACION Y PRESUPUESTO,1,,,,,,,,,
62,TI5501 - DISEÑO DE SOFTWARE,,1,,,,,,,,
62,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
63,CI4401 - INGLES II (ATI),1,,,,,,,,,
63,MA2404 - PROBABILIDADES,1,,,,,,,,,
63,SE1101 - ARTES DRAMATICAS,1,,,,,,,,,
63,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
63,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
63,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
63,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
63,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
63,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
64,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
65,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
66,MA3405 - ESTADISTICA,,1,,,,,,,,
66,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
66,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
66,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
66,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
