1,Descripción del Curso,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/0,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/1,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/2,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/3,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/4,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/5,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/6,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/7,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/8,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/9
104,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
105,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,1,,,,,,,,,
105,TI5501 - DISEÑO DE SOFTWARE,,1,,,,,,,,
105,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
105,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
105,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
106,MA2404 - PROBABILIDADES,1,,,,,,,,,
106,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
106,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
106,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
106,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
106,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
107,MA2404 - PROBABILIDADES,1,,,,,,,,,
107,TI2403 - ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS,,,1,,,,,,,
107,TI4601 - BASES DE DATOS AVANZADOS,1,,,,,,,,,
107,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
107,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
108,EM1606 - FUNDAMENTOS DE MATEMATICA II,1,,,,,,,,,
108,EM2604 - GEOMETRIA I,1,,,,,,,,,
108,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",,1,,,,,,,,
108,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
108,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
108,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
108,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
109,EM1606 - FUNDAMENTOS DE MATEMATICA II,,,1,,,,,,,
109,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,1,,,,,,,,,
109,TI4101 - PLANIFICACION Y PRESUPUESTO,1,,,,,,,,,
109,TI4200 - ECONOMIA,1,,,,,,,,,
110,MA2404 - PROBABILIDADES,,1,,,,,,,,
110,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
110,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
110,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
110,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
111,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
111,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
112,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
112,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
112,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
112,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
112,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
112,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
112,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
113,CS4402 - SEMINARIO DE ESTUDIOS COSTARRICENSES,1,,,,,,,,,
113,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
113,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
113,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
113,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
113,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
114,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
114,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
114,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
114,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
114,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
114,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
114,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
115,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,,,,1,,,,,,
115,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
115,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
115,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
115,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
116,CI4401 - INGLES II (ATI),1,,,,,,,,,
116,SE1105 - ARTES MUSICALES,1,,,,,,,,,
116,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
116,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
116,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
117,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
118,CI0202 - INGLES BASICO,1,,,,,,,,,
118,CS4402 - SEMINARIO DE ESTUDIOS COSTARRICENSES,1,,,,,,,,,
118,MA2404 - PROBABILIDADES,1,,,,,,,,,
118,TI5501 - DISEÑO DE SOFTWARE,,,1,,,,,,,
118,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
118,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
119,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
119,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
119,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
119,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
119,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
120,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
120,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
121,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
121,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
121,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
122,MA2404 - PROBABILIDADES,1,,,,,,,,,
122,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
122,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
122,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
123,CI4401 - INGLES II (ATI),1,,,,,,,,,
123,SE1105 - ARTES MUSICALES,1,,,,,,,,,
123,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
123,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
123,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
123,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
123,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
123,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
123,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
124,CI4401 - INGLES II (ATI),1,,,,,,,,,
124,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
124,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
124,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
125,CI1107 - COMUNICACION ORAL,1,,,,,,,,,
125,CI1230 - INGLES I,1,,,,,,,,,
125,CI3400 - INGLES 1  (ATI),1,,,,,,,,,
125,TI6900 - INTELIGENCIA DE NEGOCIOS,,1,,,,,,,,
126,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
126,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
126,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
126,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
126,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
126,TI9005 - ESPIRITU EMPRENDEDOR Y CREACION DE EMPRESAS,1,,,,,,,,,
127,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
127,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
128,CI4401 - INGLES II (ATI),1,,,,,,,,,
128,MA3405 - ESTADISTICA,1,,,,,,,,,
128,SE1204 - NATACION,1,,,,,,,,,
128,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
128,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
128,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
128,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
129,MA3405 - ESTADISTICA,1,,,,,,,,,
129,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
129,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
129,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
129,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
129,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
130,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
130,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
130,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
130,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
130,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
130,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
130,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
130,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
131,MA1404 - CALCULO,,1,,,,,,,,
131,TI2403 - ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS,,1,,,,,,,,
131,TI3600 - BASES DE DATOS,,1,,,,,,,,
131,TI4500 - INGENIERIA DE REQUERIMIENTOS,1,,,,,,,,,
131,TI5300 - COMPORTAMIENTO ORGANIZACIONAL Y GESTION DE CAMBIOS,1,,,,,,,,,
132,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",,1,,,,,,,,
132,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
132,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
133,CI3400 - INGLES 1  (ATI),1,,,,,,,,,
133,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,1,,,,,,,,,
133,SE1105 - ARTES MUSICALES,1,,,,,,,,,
133,TI4200 - ECONOMIA,1,,,,,,,,,
133,TI4601 - BASES DE DATOS AVANZADOS,1,,,,,,,,,
133,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
134,IC6200 - INTELIGENCIA ARTIFICIAL,1,,,,,,,,,
134,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
135,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
135,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
135,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
135,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
135,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
135,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
135,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
136,CI3400 - INGLES 1  (ATI),,1,,,,,,,,
136,MA2404 - PROBABILIDADES,,1,,,,,,,,
136,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
136,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
136,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
136,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
137,MA3405 - ESTADISTICA,1,,,,,,,,,
137,TI5501 - DISEÑO DE SOFTWARE,,,1,,,,,,,
137,TI6900 - INTELIGENCIA DE NEGOCIOS,,,1,,,,,,,
137,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
137,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
137,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
137,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
138,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,1,,,,,,,,,
138,SE1204 - NATACION,,,1,,,,,,,
138,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
138,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
138,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
138,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
138,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
139,TI1401 - TALLER DE PROGRAMACION,,,,1,,,,,,
139,TI2403 - ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS,1,,,,,,,,,
139,TI2800 - ADMINISTRACION DE PROYECTOS I,,,1,,,,,,,
140,CS4402 - SEMINARIO DE ESTUDIOS COSTARRICENSES,1,,,,,,,,,
140,MA2404 - PROBABILIDADES,1,,,,,,,,,
140,TI5501 - DISEÑO DE SOFTWARE,,1,,,,,,,,
140,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
140,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
140,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
141,CS4402 - SEMINARIO DE ESTUDIOS COSTARRICENSES,1,,,,,,,,,
141,MA2404 - PROBABILIDADES,1,,,,,,,,,
141,TI4101 - PLANIFICACION Y PRESUPUESTO,1,,,,,,,,,
141,TI5501 - DISEÑO DE SOFTWARE,1,,,,,,,,,
141,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
141,TI6900 - INTELIGENCIA DE NEGOCIOS,1,,,,,,,,,
142,CS4402 - SEMINARIO DE ESTUDIOS COSTARRICENSES,1,,,,,,,,,
142,MA1404 - CALCULO,,,,,1,,,,,
142,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
142,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
142,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
143,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,,1,,,,,,,,
143,TI4601 - BASES DE DATOS AVANZADOS,,1,,,,,,,,
143,TI5300 - COMPORTAMIENTO ORGANIZACIONAL Y GESTION DE CAMBIOS,1,,,,,,,,,
143,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
144,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
144,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
144,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
145,CS3401 - SEMINARIO DE ESTUDIOS FILOSOFICOS HISTORICOS,1,,,,,,,,,
145,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,,1,,,,,,,,
145,TI3600 - BASES DE DATOS,,,,,1,,,,,
145,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
145,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
146,MA2404 - PROBABILIDADES,1,,,,,,,,,
146,TI5501 - DISEÑO DE SOFTWARE,,1,,,,,,,,
146,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
146,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
146,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
147,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,,,1,,,,,,,
147,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
147,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
147,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
147,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
148,CS4402 - SEMINARIO DE ESTUDIOS COSTARRICENSES,1,,,,,,,,,
148,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
148,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
148,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
149,CS4402 - SEMINARIO DE ESTUDIOS COSTARRICENSES,1,,,,,,,,,
149,MA1403 - MATEMATICA DISCRETA,,,1,,,,,,,
149,TI2402 - ALGORITMOS Y ESTRUCTURAS DE DATOS,,1,,,,,,,,
149,TI2800 - ADMINISTRACION DE PROYECTOS I,,1,,,,,,,,
149,TI4101 - PLANIFICACION Y PRESUPUESTO,1,,,,,,,,,
150,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
150,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
150,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
150,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
151,CS4402 - SEMINARIO DE ESTUDIOS COSTARRICENSES,1,,,,,,,,,
151,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
151,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
151,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
151,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
151,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
151,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
152,TI1401 - TALLER DE PROGRAMACION,,,,,,1,,,,
153,CS4402 - SEMINARIO DE ESTUDIOS COSTARRICENSES,,1,,,,,,,,
153,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,,1,,,,,,,,
153,TI3600 - BASES DE DATOS,,,1,,,,,,,
153,TI4101 - PLANIFICACION Y PRESUPUESTO,1,,,,,,,,,
153,TI4500 - INGENIERIA DE REQUERIMIENTOS,,1,,,,,,,,
153,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
153,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
153,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
154,MA2404 - PROBABILIDADES,1,,,,,,,,,
154,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
154,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
154,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
155,MA3405 - ESTADISTICA,1,,,,,,,,,
155,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
155,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
155,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
155,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
155,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
155,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
156,TI4500 - INGENIERIA DE REQUERIMIENTOS,1,,,,,,,,,
156,TI4601 - BASES DE DATOS AVANZADOS,1,,,,,,,,,
156,TI5501 - DISEÑO DE SOFTWARE,1,,,,,,,,,
156,TI6900 - INTELIGENCIA DE NEGOCIOS,1,,,,,,,,,
157,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
157,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
157,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
157,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
157,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
157,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
158,MA1404 - CALCULO,,,1,,,,,,,
158,TI4500 - INGENIERIA DE REQUERIMIENTOS,1,,,,,,,,,
158,TI5300 - COMPORTAMIENTO ORGANIZACIONAL Y GESTION DE CAMBIOS,1,,,,,,,,,
158,TI5501 - DISEÑO DE SOFTWARE,1,,,,,,,,,
158,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
159,TI2102 - INFORMACION CONTABLE II,1,,,,,,,,,
159,TI2800 - ADMINISTRACION DE PROYECTOS I,1,,,,,,,,,
159,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
160,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
160,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
160,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
160,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
160,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
160,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
161,TI2102 - INFORMACION CONTABLE II,,1,,,,,,,,
161,TI5501 - DISEÑO DE SOFTWARE,1,,,,,,,,,
161,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
161,TI6900 - INTELIGENCIA DE NEGOCIOS,1,,,,,,,,,
162,MA1404 - CALCULO,1,,,,,,,,,
162,TI2402 - ALGORITMOS Y ESTRUCTURAS DE DATOS,,,1,,,,,,,
162,TI5300 - COMPORTAMIENTO ORGANIZACIONAL Y GESTION DE CAMBIOS,1,,,,,,,,,
163,MA2404 - PROBABILIDADES,,1,,,,,,,,
163,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
163,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
163,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
163,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
163,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
163,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
164,CS4402 - SEMINARIO DE ESTUDIOS COSTARRICENSES,1,,,,,,,,,
164,MA3405 - ESTADISTICA,1,,,,,,,,,
164,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
164,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
164,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
165,MA1404 - CALCULO,,1,,,,,,,,
165,TI2800 - ADMINISTRACION DE PROYECTOS I,1,,,,,,,,,
165,TI3600 - BASES DE DATOS,1,,,,,,,,,
166,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
166,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
166,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
166,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
166,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
166,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
167,TI4500 - INGENIERIA DE REQUERIMIENTOS,1,,,,,,,,,
167,TI4601 - BASES DE DATOS AVANZADOS,1,,,,,,,,,
167,TI5300 - COMPORTAMIENTO ORGANIZACIONAL Y GESTION DE CAMBIOS,1,,,,,,,,,
167,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
167,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
167,TI6900 - INTELIGENCIA DE NEGOCIOS,1,,,,,,,,,
168,CS4402 - SEMINARIO DE ESTUDIOS COSTARRICENSES,1,,,,,,,,,
168,MA2404 - PROBABILIDADES,1,,,,,,,,,
168,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
168,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
